Palaeogmphy	Palaeograph
pseudoparallela	pseudopara//e/a
Bryo	Hryo
196921	1969a
Tancrediopsis	Tancredlopsls
Lingula	Lingu/a
Plectonotus	P/ectonotus
Ischyrodoma	Ischyrodonr
?	a~
Bucanfa	Bucania
Straight	Stratght
vertical	Vertical
burrow	burro%
Nicolella	?ico/e//a
Platystrophia	P/atystrophia
Dalmzmella	Dalmanella
Kiaeromena	Kr'aeromena
kjerul?	kjeru/fi
Bicuspina	Blcusppta
spiriferoides	s/nrlferoldes
Lingulasma	Lingu/agma
tenuigmnulata	tenuigranulata
alifrons	a/lfpons
Strophomena	SErophomena
Eoplectodonta	Eop/ectodonta
swallower	swRllQ%'cI'
unknown	UflkBQ%'A
Bra	BXB,
chiopoda	C41Gp()dR
de?ned	defined
in	iii
trilobite	??trilobite
L.	L
Pen-y-Gamedd	Pen-y<amedd
L.	L
Lingula	Linguia
conceming	concerning
mediumsized	medium-sized
L.	L
l	1
L.	L
tenurjgrrmulata	tenuigranulata,
L.	L
PenyGamedd	Pen-y-Garnedd
pyramidata	pyrarnidata
Lengthcm	glCl
o	0
VV-dth	Width
L.	L
tenuigranuhzta	tenuigranulata
Lingukzsma	Lingulasma
L.	L
Pen-y-Gamedd	Pen-y-Garnedd
Cardium	Cardiurn
Mytilus	Jlfytilus
L.	L
tenuigranukzta	tenuigranulata
environment	environ-ment
coal?eld	coalfield
L.	J..
nonnally	normally
micfogram/annum	microgram/annum
currentswept	current-swept
15	l5
in?lled	infilled
S	5
lo	??10
insuf?cient	insufficient
Pen-y-Garnedd	Pen-y&arnedd
by	bY
in	m,
upward	up-ward
welldeveloped	well-developed
R.	R
L.	L
pattems	patterns
strophomenidtrilobite	strophomenid???trilobite
Of	of
SP	sp
?	e
Ci	ci
?	e
-	s
?s	's
?lter-feeder	filter-feede
.	r.
Lingukzsma	I.ingulasma
L.	I..
tenuigranulata	renuigranulafa
N.E.R.C.	N.E,R.C.
Palaeogeogtz	Palaeogeogr.
143-172	143???1
,	72.
l	1
1420-1431	1420???14
.	31.
9-47	9???
.	47.
J.	L
239-281	239???2
.	81.
Camdoc	Caradoc
Geol	GeoL
PaIaeogeogr	Palaeogeogn
Pataeoclimatol	Palaeoclimatol
-59	???
.	59.
Norsk	Jvorsk
Tidsskrz	Tidsskr.
1	I
397-414	397???4
.	14.
Misc	iifi
.	sc.
CoIlect.	Collect.
xvi	??x
)	v
:	i):
palacoecology	palaeoecology
111-119	111???1
.	19.
palacoecology	palaeoecology
103-109	103???1
.	09.
1-248	I???2
.	48.
Geol	GeoL
palacoecology	palaeoecology
J.	L
palacoecology	palaeoecology
squamiformis	stluamiformis
J.	L
669-681	669???6
.	81.
Mem.	%em.
PaIaeontoI.	Palaeontol.
-98	???
.	98.
Popuktions	Population
.	s.
29-51	29???
.	5I.
Hatai	FIata
,	i,
lap	Jap
Geol	GeoL
lnterspecific	Intersperific
-55	???
.	55.
lmbrie	Imbrie
Approaches	Approuches
107-134	107???1
.	34.
Q.	0.
671-704	671???7
.	04.
K.	K
M?Coy	M'Coy
Palaeozoic	Palueozoic
Cambridge	Cumbridge
407-601	407???6
.	01.
Geol	GeoL
Nomuta	Nomura
I-latai	Hatai,
l-lonsyu	Honsyu,
Saito	Suito
Manon	Monon
Palaeogeogn	Palaeogeogr
21-31	21???
.	31.
Califomia	Californi
.	a.
PaIaeontol.	Palaeontol.
862-873	862???8
.	73.
Biol	BioL
H.M.S.o.	H.M.S.O.
55-82	55???
.	82.
N.	N,
Inst	inst
oceanol.	Oceanol.
Bz	Bi
'	o
o1.	l.,
U.S.S.R.	US.S.R.
Aead	Acad
1542	154:
Indica	Jndica
U.S.	US.
Natl.	?tl.
Palaeontol	Pulaeonto!
Palaeontol.	Palaeonlol.
928-944	928???9
.	44.
Nat	?t.
-	B
Bull	ull.
Geol.	GeoL,
327-471	327???4
.	71.
Palaeozoic	Palueozoic
Armor	Annot
.61	61?
67	?6
.	7.
Ziegler	Ziegier
K.	K?
1	I
1-27	I???
.	27.
